Pos, Facility ID, Facility Name, Lat, Lng, Points
262, 11eebdfe5779b180d2483a7df74aefbe,Kinsmen Community Arenas,52.2592,-113.8237,13
263, 11eec620be82565025b546f0c5fc1684,Co-operative Place,51.8194,-103.5644,13
264, 11efcee20ea8f7e0a95514b511914e67,Desbarats arena ,46.1849,-82.8228,13
265, 11efd090b4d17a70050acc31db35eb4b,Cornwall Civic Complex,45.0186,-74.7129,13
266, 11efd8ecd26831a049ae44f50660feed,Lloyd Wilson Centennial Arena,43.7467,-79.8304,13
267, 11E9F686BB7627E881807B23EA662A63,Acton Community Centre,43.6298626,-80.0449266,12
268, 11E9F686BBDC6CC481807B23EA662A63,Nicola Valley Memorial Arena,50.1127133,-120.7861075,12
269, 11eebe4d5236daf02d732ed0c64e828a,Sudbury Community Arena,46.4918,-80.9955,12
270, 11efd94f407751a00afb628ffba75358,Berens River First Nation,55.8244,-98.8348,12
271, 11efdc4e57c1e760d67dfa3faa67850d,Seaparc ,48.3822608,-123.7313996,12
272, 11E9F686BB76910681807B23EA662A63,Affinity Place,49.1426559,-102.9912594,11
